,PBI
Ene-80,36357.47781
Abr-80,43102.11021
Jul-80,42344.48292
Oct-80,45791.92906
Ene-81,39025.87453
Abr-81,45857.88601
Jul-81,45002.69018
Oct-81,47014.54928
Ene-82,40474.84753
Abr-82,46211.08833
Jul-82,43888.79799
Oct-82,45932.26615
Ene-83,36438.08908
Abr-83,41011.22363
Jul-83,39106.78551
Oct-83,41579.90179
Ene-84,35508.36476
Abr-84,41849.25177
Jul-84,41510.75442
Oct-84,44973.62904
Ene-85,39428.50939
Abr-85,43937.53012
Jul-85,40849.14667
Oct-85,43003.81382
Ene-86,38202.40576
Abr-86,46949.84311
Jul-86,47017.47616
Oct-86,50811.27497
Ene-87,44533.39447
Abr-87,51060.13702
Jul-87,51599.53084
Oct-87,53584.93768
Ene-88,43968.84792
Abr-88,49303.01581
Jul-88,46027.2197
Oct-88,42522.91657
Ene-89,35208.32194
Abr-89,39867.60242
Jul-89,40356.29678
Oct-89,44003.77886
Ene-90,40440.50827
Abr-90,40316.93567
Jul-90,33934.51065
Oct-90,36800.04541
Ene-91,36289.65666
Abr-91,40194.36571
Jul-91,39444.32862
Oct-91,38925.64901
Ene-92,38553.88552
Abr-92,39420.09794
Jul-92,36833.07099
Oct-92,39209.94555
Ene-93,38458.77143
Abr-93,41646.56719
Jul-93,40683.66624
Oct-93,41303.99513
Ene-94,43373.67741
Abr-94,46709.94895
Jul-94,45094.06491
Oct-94,46865.98004
Ene-95,47280.46876
Abr-95,50715.53423
Jul-95,48795.67526
Oct-95,48744.31318
Ene-96,47884.62544
Abr-96,51913.68028
Jul-96,50072.60079
Oct-96,51138.38322
Ene-97,50364.87147
Abr-97,56186.46758
Jul-97,53279.58255
Oct-97,54197.36979
Ene-98,51486.87629
Abr-98,54478.79318
Jul-98,53514.84555
Oct-98,53709.47838
Ene-99,51214.63364
Abr-99,55517.78101
Jul-99,53196.08981
Oct-99,56448.23617
Ene-00,54674.82238
Abr-00,58255.55071
Jul-00,54621.75114
Oct-00,54654.58313
01-Ene,51760.36698
01-Abr,58431.06409
01-Jul,56119.64731
01-Oct,57268.49737
02-Ene,55137.7412
02-Abr,62307.22678
02-Jul,58404.35447
02-Oct,59923.62468
03-Ene,58249.27014
03-Abr,65202.48811
03-Jul,60551.68347
03-Oct,61589.17203
04-Ene,60913.81557
04-Abr,67639.71287
04-Jul,63145.75285
04-Oct,66070.50494
05-Ene,64340.88941
05-Abr,71310.36762
05-Jul,67229.82619
05-Oct,71090.07067
06-Ene,69670.76407
06-Abr,75823.93549
06-Jul,72806.26906
06-Oct,76296.86218
07-Ene,73353.82235
07-Abr,80625.63069
07-Jul,80689.08125
07-Oct,85024.46471
08-Ene,80813.10059
08-Abr,89146.44287
08-Jul,88439.83845
08-Oct,90523.62177
09-Ene,82894.93326
09-Abr,88427.17888
09-Jul,88282.98425
09-Oct,92978.92043
10-Ene,87418.20707
10-Abr,96887.26151
10-Jul,96918.82321
10-Oct,101155.7078
11-Ene,94996.28207
11-Abr,102176.0419
11-Jul,102605.5321
11-Oct,107274.1271
12-Ene,100668.84
12-Abr,107960.8786
12-Jul,109624.763
12-Oct,113018.5044
13-Ene,105427.6363
13-Abr,114690.3415
13-Jul,115431.1367
13-Oct,120899.6036
14-Ene,110643.3042
14-Abr,116939.2637
14-Jul,117592.1032
14-Oct,122201.7778
15-Ene,112788.2973
15-Abr,120660.0838
15-Jul,121314.5632
15-Oct,127913.4339
16-Ene,117962.5649
16-Abr,125338.8139
16-Jul,127090.9483
16-Oct,131832.4128
17-Ene,120628.1157
17-Abr,128584.2489
17-Jul,130568.8034
17-Oct,134873.8682
18-Ene,124453.1631
18-Abr,135725.2218
18-Jul,133858.8478
18-Oct,141208.0731
19-Ene,127422.0865
19-Abr,137336.4056
19-Jul,137844.7181
