,TC
Ene04,3.46735238095238
Feb04,3.48477
Mar04,3.46509130434783
Abr04,3.46989
May04,3.48739047619048
Jun04,3.4770619047619
Jul04,3.440715
Ago04,3.39494285714286
Sep04,3.35744090909091
Oct04,3.320635
Nov04,3.30983333333333
Dic04,3.28129047619048
Ene05,3.26785714285714
Feb05,3.25876
Mar05,3.25928095238095
Abr05,3.25795
May05,3.25499047619048
Jun05,3.25299523809524
Jul05,3.25213157894737
Ago05,3.25767272727273
Sep05,3.30762727272727
Oct05,3.38044761904762
Nov05,3.37676190476191
Dic05,3.42449047619048
Ene06,3.39319545454545
Feb06,3.288465
Mar06,3.34001739130435
Abr06,3.3313
May06,3.27853636363636
Jun06,3.26390952380952
Jul06,3.243425
Ago06,3.23479090909091
Sep06,3.24791428571429
Oct06,3.23740909090909
Nov06,3.22249047619048
Dic06,3.20508947368421
Ene07,3.19266363636364
Feb07,3.19029
Mar07,3.18557727272727
Abr07,3.17824210526316
May07,3.16761818181818
Jun07,3.170315
Jul07,3.16092272727273
Ago07,3.15747272727273
Sep07,3.135545
Oct07,3.01942727272727
Nov07,3.00089047619048
Dic07,2.98104
Ene08,2.95016818181818
Feb08,2.90505714285714
Mar08,2.81029473684211
Abr08,2.74765011303739
May08,2.8045
Jun08,2.89227619047619
Jul08,2.84752380952381
Ago08,2.8933380952381
Sep08,2.96626363636364
Oct08,3.07358636363636
Nov08,3.09208888888889
Dic08,3.11397
Ene09,3.15154210526316
Feb09,3.236695
Mar09,3.17478636363636
Abr09,3.084215
May09,2.99438
Jun09,2.99074761904762
Jul09,3.012625
Ago09,2.95068095238095
Sep09,2.90950909090909
Oct09,2.872
Nov09,2.8843
Dic09,2.87757894736842
Ene10,2.856255
Feb10,2.853985
Mar10,2.83927826086957
Abr10,2.8398
May10,2.84545238095238
Jun10,2.83802
Jul10,2.82301578947368
Ago10,2.80184761904762
Sep10,2.79059090909091
Oct10,2.79163
Nov10,2.80581904761905
Dic10,2.815455
Ene11,2.78667142857143
Feb11,2.77041
Mar11,2.77950869565217
Abr11,2.81584210526316
May11,2.77439047619048
Jun11,2.76382380952381
Jul11,2.74140526315789
Ago11,2.73951904761905
Sep11,2.74415
Oct11,2.73113
Nov11,2.70510476190476
Dic11,2.69617894736842
Ene12,2.6925
Feb12,2.68327142857143
Mar12,2.67087272727273
Abr12,2.65662222222222
May12,2.66973636363636
Jun12,2.67096
Jul12,2.63498571428571
Ago12,2.61587619047619
Sep12,2.60267
Oct12,2.58766
Nov12,2.598605
Dic12,2.56656111111111
Ene13,2.55217272727273
Feb13,2.57834736842105
Mar13,2.59417368421053
Abr13,2.59806818181818
May13,2.64571818181818
Jun13,2.74848421052632
Jul13,2.77688571428571
Ago13,2.80198571428571
Sep13,2.77866190476191
Oct13,2.76906666666667
Nov13,2.79875
Dic13,2.78564
Ene14,2.80927727272727
Feb14,2.81255
Mar14,2.80657142857143
