A0M052,A0M051,A0M224_R,A0M057,A0M059,IPS10,IPS11,IPS299,IPS12,IPS13,IPS18,IPS25,IPS32,IPS34,IPS38,IPS43,IPS307,IPS306,PMP,A0M082,LHEL,LHELX,LHEM,LHNAG,LHUR,LHU680,LHU5,LHU14,LHU15,LHU26,LHU27,A0M005,CES002,CES003,CES006,CES011,CES015,CES017,CES033,CES046,CES048,CES049,CES053,CES088,CES140,A0M048,CES151,CES155,A0M001,PMEMP,HSFR,HSNE,HSMW,HSSOU,HSWST,HSBR,HSBNE,HSBMW,HSBSOU,HSBWST,PMI,PMNO,PMDEL,PMNV,A0M008,A0M007,A0M027,A1M092,A0M070,A0M077,FM1,FM2,FM3,FM2DQ,FMFBA,FMRRA,FMRNBA,FCLNQ,FCLBMC,CCINRV,A0M095,FSPCOM,FSPIN,FSDXP,FSPXE,FYFF,CP90,FYGM3,FYGM6,FYGT1,FYGT5,FYGT10,FYAAAC,FYBAAC,SCP90,SFYGM3,SFYGM6,SFYGT1,SFYGT5,SFYGT10,SFYAAAC,SFYBAAC,EXRUS,EXRSW,EXRJAN,EXRUK,EXRCAN,PWFSA,PWFCSA,PWIMSA,PWCMSA,PSM99Q,PMCP,PUNEW,PU83,PU84,PU85,PUC,PUCD,PUS,PUXF,PUXHS,PUXM,GMDC,GMDCD,GMDCN,GMDCS,CES275,CES277,CES278,HHSNTN
1971,1852.5,1485.5388,222317,62732,30.126,28.706,28.269,34.89,24.669,39.687,14.881,31.467,23.92,30.499,27.852,24.475,48.326,71.9,85.56,41,0.841,65347,59889,5.2,13.5,1638,1045,915,450,465,282.6,45967,19491,686,3021,15687,9289,6398,34783,11111,2678,5552.7,2496,8307,108.58,40,3,40.6,60.8,1460,274,358,506,322,1092,246,253,331,262,61.5,65.4,46.2,48.3,48354,50907,9802,154956,250.22,1.124,140,298.2,300.1,1448,40794,11081,10194,152.632,1.7,56015.58,13.8,58.03,62.27,3.27,17.32,3.99,4.60254,4.35,4.74,5.03,4.92,4.72,4.61,5.34,0.61254,0.36,0.75,1.04,0.93,0.73,0.62,1.35,145.19,4.3268,360.36,279.9756,0.9532,33.1,33.2,30.8,30.4,31.64,63.8,29.37,45.3,30,21.9,33.5,38.5,23.7,29.6,31.1,29.9,21.817,41.932,24.73,16.993,2.22,2.57,2.13,101.7
1972.1,1853.2,1491.689941,220894,62474,29.858,28.544,28.172,34.492,24.33,39.28,14.977,31.059,23.524,30.312,27.636,24.444,48.83,58.6,84.61,41,0.913,65620,60177,4.8,13.1,1431,1034,841,412,429,272.6,46187,19605,690.9,3053,15765,9358,6407,34908,11145,2682.5,5576.5,2506,8326,108.75,39.7,2.8,40.3,57.2,1503,269,383,487,364,1088,232,256,305,295,52.3,52.5,31.7,56.6,47629,50791,10116,151233,252.7,1.141,139.9,298.5,300.4,1447.8,40666,10884,10074,154.574,5.2,56364.63,13.86,55.78,59.6,3.44,16.61,3.97,4.41322,3.96,4.3,4.66,4.69,4.49,4.56,5.34,0.44322,-0.01,0.33,0.69,0.72,0.52,0.59,1.37,145.15,4.3375,360.62,280.3289,0.9518,33.1,33.2,30.9,30.4,31.46,60.9,29.41,45.5,30,22,33.4,38.5,23.8,29.6,31.1,30,21.841,41.994,24.744,17.02,2.23,2.59,2.14,104.6
1975.2,1854,1513.016425,218935,62739,29.59,28.446,28.14,34.532,23.849,39.641,15.01,30.549,22.781,30.325,27.297,25.374,49.334,52.4,83.24,39,0.776,64673,59714,5.4,13,1666,1120,959,519,440,305.3,45933,19373,689.2,2881,15707,9301,6406,35085,11134,2686.9,5572.5,2513,8525,108.16,39.5,2.7,40,48,1109,146,206,428,329,955,166,189,273,327,47.8,52.2,28.8,50.7,46765,50284,9957,147849,255,1.162,139.8,299.4,301.4,1450.9,40616,10796,10155,155.519,2.7,56862.88,13.95,55.02,58.71,3.51,16.48,3.84,4.34586,3.31,3.61,4.02,4.31,4.25,4.49,5.25,0.50586,-0.53,-0.23,0.18,0.47,0.41,0.65,1.41,145.1,4.3368,360.62,280.5857,0.951,33.4,33.6,30.9,30.7,31.08,57.3,29.41,45.5,29.9,22.1,33.5,38.4,23.9,29.6,31.1,30,21.857,41.839,24.791,17.036,2.24,2.69,2.14,102.6
1980.6,1859.4,1536.35742,220369,64449,29.355,28.511,28.172,34.771,23.821,40.048,14.849,29.836,21.964,30.06,27.08,25.405,50.846,49.8,82.26,38,0.778,65959,60488,5.2,12.6,1735,1002,896,465,431,296,46278,19446,692.9,3004,15654,9242,6412,35366,11296,2695,5669.4,2520,8534,108.96,39.8,2.3,40,42,1289,218,288,466,317,1016,189,244,286,297,45.3,52,28.9,45.5,47090,49745,10384,145270,254.49,1.152,139.6,300.1,302.2,1449,40621,10767,10161,155.922,2.4,57711.4,14.07,55.73,59.46,3.47,16.67,3.92,3.96307,3.23,3.55,4.04,4.29,4.28,4.45,5.2,0.04307,-0.69,-0.37,0.12,0.37,0.36,0.53,1.28,145.47,4.3387,360.23,280.9495,0.963,33.4,33.6,30.8,30.8,31.17,60.4,29.54,45.6,29.9,22.2,33.6,38.3,23.9,29.6,31.2,30.1,21.935,41.885,24.926,17.073,2.24,2.61,2.14,100.6
1985.1,1863.6,1505.533039,216272,62779,29.322,28.674,28.366,34.969,24.047,40.183,14.897,29.564,21.667,30.107,26.926,25.095,49.446,45,81.47,38,0.789,66057,60698,5.1,11.9,1718,1074,797,408,389,318.1,46040,19374,685.8,3021,15575,9169,6406,35098,11173,2691.9,5595.4,2523,8432,108.5,39.7,2.6,40.1,42.5,1271,215,298,458,300,1052,224,240,302,286,42.6,45.8,32.3,42.5,46563,50292,10385,143826,255.83,1.18,139.6,300.9,303,1451.2,40639,10840,10344,157.186,3.6,57951.03,14.08,55.22,58.84,3.51,15.98,3.85,4.08154,3.29,3.58,4.21,4.49,4.35,4.46,5.28,0.23154,-0.56,-0.27,0.36,0.64,0.5,0.61,1.43,146.09,4.3245,360.49,280.6006,0.978,33.4,33.6,30.8,30.8,31.11,57,29.57,45.7,29.8,22.2,33.6,38.2,24,29.6,31.3,30.1,21.959,41.871,24.911,17.133,2.24,2.64,2.14,98.6
1985.5,1862.1,1504.710755,216696,63197,28.953,28.348,28.043,34.731,23.792,39.958,14.704,29.088,20.973,30.133,26.617,25.25,49.222,48.5,80.22,37,0.728,66168,60752,5.4,11.9,1738,1182,854,458,396,323.8,45915,19240,682,2999,15466,9078,6388,35107,11163,2687,5593.3,2528,8432,108.37,39.5,2.4,39.9,39.7,1247,208,323,408,308,958,176,213,385,284,44.4,49.2,34.8,43.9,46967,51255,10302,143180,256.11,1.179,139.6,302.3,304.5,1457.2,40689,10885,10451,159.128,5,58387.06,14.18,57.26,61.06,3.4,16.04,3.32,3.70689,2.46,2.74,3.36,4.12,4.15,4.45,5.26,0.38689,-0.86,-0.58,0.04,0.8,0.83,1.13,1.94,146.35,4.3151,361.27,280.2676,0.9824,33.4,33.6,30.9,30.4,30.79,52.6,29.61,45.7,29.8,22.2,33.6,38.1,24,29.6,31.3,30.1,21.971,41.758,24.911,17.17,2.24,2.64,2.14,98.2
1986.2,1863.1,1507.950931,215346,62549,28.852,28.186,27.881,34.413,22.887,40.048,14.527,29.122,21.097,29.883,26.555,25.498,50.454,48.2,79.73,36,0.696,65909,60367,5.5,12.6,1709,1184,921,521,400,337.7,45861,19170,663.1,3002,15413,9035,6378,35133,11158,2688.7,5595.8,2536,8442,108.34,39.6,2.4,39.9,42.1,1197,198,306,394,299,999,219,224,268,288,43.7,45.7,35.8,41.9,46782,49564,9957,140927,256.7,1.19,140.2,304.1,306.4,1463.2,40794,10994,10615,158.75,-0.2,58746.71,14.23,55.84,59.25,3.49,15.65,3.23,3.14441,2.3,2.71,3.2,3.79,3.9,4.41,5.22,-0.08559,-0.93,-0.52,-0.03,0.56,0.67,1.18,1.99,145.93,4.3136,359.32,280.8418,0.9785,33.5,33.7,30.8,30.4,30.5,49.9,29.55,45.8,29.8,22.3,33.5,38.1,24.1,29.7,31.3,30.1,22.01,41.739,24.955,17.214,2.24,2.66,2.14,97.9
1984.6,1859.8,1506.712627,215406,62555,28.819,28.12,27.881,34.493,23.142,40.048,14.334,28.986,20.973,29.726,26.432,25.591,50.062,50.3,79.05,35,0.658,65895,60375,5.6,12.2,1746,1287,927,517,410,366.1,45800,19105,682.8,2973,15360,9007,6353,35167,11157,2712,5590.9,2543,8472,108.27,39.3,2.4,39.7,43.6,1344,229,283,479,353,994,208,230,270,286,47.6,55.6,38,39.1,48066,52638,9939,142021,257.23,1.192,141.3,306.9,309.3,1474.1,40895,11078,10782,157.733,-1.8,58947.15,14.27,56.51,59.96,3.43,16.45,2.98,3.1833,2.3,2.59,2.95,3.62,3.8,4.28,5.08,0.2033,-0.68,-0.39,-0.03,0.64,0.82,1.3,2.1,145.54,4.3106,358.81,281.0237,0.9699,33.4,33.6,30.8,29.8,30.52,50.6,29.61,45.8,29.8,22.3,33.6,38.1,24.1,29.7,31.3,30.2,22.048,41.743,25.005,17.247,2.25,2.68,2.15,97.5
1987.6,1860.4,1513.640895,217412,62689,28.517,27.893,27.719,34.334,22.859,39.912,14.205,28.51,20.701,29.516,26.154,25.807,50.062,50,77.92,34,0.649,66267,60512,5.5,12.9,1677,1213,982,516,466,353.8,45734,19057,678.3,2959,15330,8985,6345,35171,11140,2696.6,5589.7,2549,8494,107.76,39.1,2.3,39.4,40.2,1097,194,292,384,227,984,205,220,264,295,45.4,50.5,37.3,40.8,47984,52384,9920,142553,258.57,1.187,141.2,308.4,311,1480.3,41040,11147,10932,158.184,1.4,59364.65,14.33,54.81,57.96,3.55,16.34,2.6,3.16607,2.48,2.83,3.07,3.61,3.8,4.25,5.01,0.56607,-0.12,0.23,0.47,1.01,1.2,1.65,2.41,145.61,4.3069,358.81,281.2715,0.9726,33.4,33.7,30.8,30,30.34,48.4,29.61,45.9,29.6,22.4,33.6,37.9,24.2,29.7,31.3,30.2,22.066,41.575,25.018,17.294,2.26,2.68,2.16,96.1
1992.8,1865.8,1520.843706,215994,62891,28.484,28.055,27.849,34.691,23.113,40.319,14.093,28.408,20.453,29.338,26.123,25.838,50.342,51.2,77.53,32,0.558,65632,60196,6.1,13.5,1766,1282,1189,623,566,375.7,45642,18952,677.2,2956,15231,8902,6329,35192,11134,2691.9,5595.3,2548,8502,107.55,39.4,2.4,39.7,43.7,1246,286,272,386,302,972,196,232,263,281,46,50.1,36.2,39.7,47140,48589,9655,140114,257.78,1.191,140.9,309.5,312.2,1483.7,41097,11216,11049,158.178,0.5,59628.99,14.34,53.73,56.9,3.6,16.11,2.47,3.02514,2.3,2.73,3.04,3.76,3.89,4.3,5.11,0.55514,-0.17,0.26,0.57,1.29,1.42,1.83,2.64,145.86,4.3083,358.81,281.1582,0.9787,33.7,34,30.8,30.2,30.1,45,29.75,46,29.6,22.4,33.7,37.9,24.2,29.7,31.4,30.3,22.093,41.535,25.057,17.32,2.27,2.69,2.16,94.8
