GDPgrowth,PrScEnroll,LifeExp,GDPsh560,Mining,EcoOrg,YrsOpen,Englishpct,Foreignpct,RFEXDist,EquipInv,NEquipInv,stdBMP,OutwarOr,BlMktPm,Area,LatAmerica,SubSahara,HighEnroll,PublEdupct,RevCoup,WarDummy,PolRights,CivlLib,AbsLat,Age,BritCol,Buddha,Catholic,Confuncious,EthnoLFrac,FrenchCol,Hindu,Jewish,Muslim,PrExports,Protestants,RuleofLaw,SpanishCol,Popg,WorkperPop,LabForce
0.01369,0.46,47.3,7.439,0.196,0,0,0,0.836,190,0.0507,0.1907,186.56,1,0.131,2382,0,0,0.003,0.0297,0.123,0,5.8333,5.8889,36.72,84,0,0,0,0,0.43,1,0,0.005,0.99,0.933,0.005,0.33333,0,0.028417,-1.3303,2855.5
0.056195,0.42,45.7,6.2841,0.533,5,0.356,0,0,131,0.1309,0.153,23.388,0,0.072,582,0,1,0,0.03,0,0,2.0556,3,21.536,0,1,0,0.25,0,0.51,0,0,0,0,0.75,0.25,0.83333,0,0.03315,-0.82439,210.92
0.012239,0.65,43.4,6.5468,0.088,5,0.156,0,0.007,187,0.004,0.125,4.4726,1,0.05,475,0,1,0.002,0.0221,0.08,0,6.0556,5.5556,10.73,0,0,0,0.16,0,0.89,1,0,0,0.16,0.915,0.17,0.5,0,0.026343,-0.71662,2587.1
0.022322,0.78,47.3,6.9689,0.168,1,0,0,0,191,0.0498,0.2384,4.4767,1,0.05,342,0,1,0.005,0.0311,0.36,0,6.5556,6.1667,3.684,0,0,0,0.25,0,0.66,1,0,0,0.02,0.71,0.25,0.33333,0,0.027473,-0.77414,455.57
-0.000553,0.07,42.2,5.5175,0.001,0,0,0,0.002,98,0.006,0.0488,70.023,0,0.156,1222,0,1,0.001,0.0095,0.72,1,6.6667,6.6111,9.007,0,0,0,0,0,0.69,0,0,0,0.42,0.983,0,0.5,0,0.022771,-0.67002,12379
-0.001592,0.38,45.2,6.7719,0.016,3,0.222,0,0,248,0.00443,0.08667,588.63,0,0.35,239,0,1,0.002,0.026,0.547,0,5.8889,5,6.694,0,1,0,0.12,0,0.71,0,0,0,0.3,0.994,0.12,0.16667,0,0.027276,-0.83425,2941.3
0.00963,0.47,45,6.4646,0.002,5,0.044,0,0,131,0.028,0.1465,12.448,1,0.014,580,0,1,0.001,0.0361,0.05,0,5.3333,4.8333,0.513,79,1,0,0.28,0,0.83,0,0,0,0.06,0.874,0.38,0.33333,0,0.035654,-0.80833,3712.7
-0.020769,0.52,41,7.0588,0.078,1,0,0,0,120,0.01,0.0611,4.799,0,0.05,587,0,1,0.002,0.0206,0.1,0,5.2222,5.0556,18.958,0,0,0,0.2,0,0.06,1,0,0,0.07,0.928,0.21,0.66667,0,0.026986,-0.6706,2715
0.006819,0.67,37.9,5.9054,0.089,5,0,0,0,116,0.018,0.1143,32.643,1,0.086,118,0,1,0,0.0118,0,0,6.3889,6.5556,15.811,0,1,0,0.2,0,0.62,0,0,0,0.2,0.963,0.55,0.16667,0,0.030129,-0.69796,1756
0.028471,0.47,46.9,6.6733,0.029,3,0.444,0,0.74,123,0.015,0.0684,9.0524,0,0.179,447,0,0,0.005,0.0305,0.08,1,4.1667,4.6111,33.593,0,0,0,0,0,0.53,1,0,0,0.99,0.903,0.01,0.16667,0,0.025559,-1.2698,3265.7
