Mnemon,Slow/Fast,SMALL,CEE,MEDIUM,Log,RW
CES002,0,1,1,1,1,1
PUNEW,0,1,1,1,1,1
PSM99Q,0,0,1,1,1,1
A0M051,0,0,0,1,1,1
A0M224_R,0,0,0,1,1,1
IPS10,0,0,0,1,1,1
A0M082,0,0,0,1,0,1
LHUR,0,0,0,1,0,1
HSFR,0,0,0,1,1,0
PWFSA,0,0,0,1,1,1
GMDC,0,0,0,1,1,1
CES275,0,0,0,1,1,1
A0M052,0,0,0,0,1,1
A0M057,0,0,0,0,1,1
A0M059,0,0,0,0,1,1
IPS11,0,0,0,0,1,1
IPS299,0,0,0,0,1,1
IPS12,0,0,0,0,1,1
IPS13,0,0,0,0,1,1
IPS18,0,0,0,0,1,1
IPS25,0,0,0,0,1,1
IPS32,0,0,0,0,1,1
IPS34,0,0,0,0,1,1
IPS38,0,0,0,0,1,1
IPS43,0,0,0,0,1,1
IPS307,0,0,0,0,1,1
IPS306,0,0,0,0,1,1
PMP,0,0,0,0,0,0
LHEL,0,0,0,0,0,1
LHELX,0,0,0,0,0,1
LHEM,0,0,0,0,1,1
LHNAG,0,0,0,0,1,1
LHU680,0,0,0,0,0,1
LHU5,0,0,0,0,1,1
LHU14,0,0,0,0,1,1
LHU15,0,0,0,0,1,1
LHU26,0,0,0,0,1,1
LHU27,0,0,0,0,1,1
A0M005,0,0,0,0,1,1
CES003,0,0,0,0,1,1
CES006,0,0,0,0,1,1
CES011,0,0,0,0,1,1
CES015,0,0,0,0,1,1
CES017,0,0,0,0,1,1
CES033,0,0,0,0,1,1
CES046,0,0,0,0,1,1
CES048,0,0,0,0,1,1
CES049,0,0,0,0,1,1
CES053,0,0,0,0,1,1
CES088,0,0,0,0,1,1
CES140,0,0,0,0,1,1
A0M048,0,0,0,0,1,1
CES151,0,0,0,0,0,0
CES155,0,0,0,0,0,1
A0M001,0,0,0,0,0,0
PMEMP,0,0,0,0,0,0
HSNE,0,0,0,0,1,0
HSMW,0,0,0,0,1,0
HSSOU,0,0,0,0,1,0
HSWST,0,0,0,0,1,0
HSBR,0,0,0,0,1,0
HSBNE,0,0,0,0,1,0
HSBMW,0,0,0,0,1,0
HSBSOU,0,0,0,0,1,0
HSBWST,0,0,0,0,1,0
PMI,0,0,0,0,0,0
PMNO,0,0,0,0,0,0
PMDEL,0,0,0,0,0,0
PMNV,0,0,0,0,0,0
A0M008,0,0,0,0,1,1
A0M007,0,0,0,0,1,1
A0M027,0,0,0,0,1,1
A1M092,0,0,0,0,1,1
A0M070,0,0,0,0,1,1
A0M077,0,0,0,0,0,1
PWFCSA,0,0,0,0,1,1
PWIMSA,0,0,0,0,1,1
PWCMSA,0,0,0,0,1,1
PMCP,0,0,0,0,0,0
PU83,0,0,0,0,1,1
PU84,0,0,0,0,1,1
PU85,0,0,0,0,1,1
PUC,0,0,0,0,1,1
PUCD,0,0,0,0,1,1
PUS,0,0,0,0,1,1
PUXF,0,0,0,0,1,1
PUXHS,0,0,0,0,1,1
PUXM,0,0,0,0,1,1
GMDCD,0,0,0,0,1,1
GMDCN,0,0,0,0,1,1
GMDCS,0,0,0,0,1,1
CES277,0,0,0,0,1,1
CES278,0,0,0,0,1,1
HHSNTN,0,0,0,0,0,1
FYFF,2,1,1,1,0,1
FM2,1,0,1,1,1,1
FMRRA,1,0,1,1,1,1
FMRNBA,1,0,1,1,1,1
FM1,1,0,0,1,1,1
FSPCOM,1,0,0,1,1,1
FYGT10,1,0,0,1,0,1
EXRUS,1,0,0,1,1,1
FM3,1,0,0,0,1,1
FM2DQ,1,0,0,0,1,1
FMFBA,1,0,0,0,1,1
FCLNQ,1,0,0,0,1,1
FCLBMC,1,0,0,0,0,0
CCINRV,1,0,0,0,1,1
A0M095,1,0,0,0,0,1
FSPIN,1,0,0,0,1,1
FSDXP,1,0,0,0,0,1
FSPXE,1,0,0,0,1,1
CP90,1,0,0,0,0,1
FYGM6,1,0,0,0,0,1
FYGT1,1,0,0,0,0,1
FYGT5,1,0,0,0,0,1
FYGM3,1,0,0,0,0,1
FYAAAC,1,0,0,0,0,1
FYBAAC,1,0,0,0,0,1
SCP90,1,0,0,0,0,0
SFYGM3,1,0,0,0,0,0
SFYGM6,1,0,0,0,0,0
SFYGT1,1,0,0,0,0,0
SFYGT5,1,0,0,0,0,0
SFYGT10,1,0,0,0,0,0
SFYAAAC,1,0,0,0,0,0
SFYBAAC,1,0,0,0,0,0
EXRSW,1,0,0,0,1,1
EXRJAN,1,0,0,0,1,1
EXRUK,1,0,0,0,1,1
EXRCAN,1,0,0,0,1,1
